"","Family","Species","Trait","Value","Source","Trait_original"
"240","Colubridae","Elaphe quatuorlineata","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"241","Colubridae","Elaphe sauromates","Active_period","Diurnal","RepT","Active time"
"242","Colubridae","Elaphe sauromates","BodyMass_max_g","681.26355899999999","RepT","Maximum body mass (g)"
"243","Colubridae","Elaphe sauromates","Clutch_mean","11","RepT","Mean number of offspring per litter or number of eggs per clutch"
"244","Colubridae","Elaphe sauromates","Diet","Carnivorous","RepT","Diet"
"245","Colubridae","Elaphe sauromates","Limbs","limbless","SqB","Limbs"
"246","Colubridae","Elaphe sauromates","Longevity_y","13.8","RepT","Maximum Longevity (years)"
"247","Colubridae","Elaphe sauromates","SVL_mm_max","1363","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"248","Colubridae","Elaphe sauromates","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"249","Boidae","Eryx jaculus","Active_period","Nocturnal","RepT","Active time"
"250","Boidae","Eryx jaculus","Activity_season_m","6","SqB","Length_Activity_Season"
"251","Boidae","Eryx jaculus","BodyMass_max_g","254.22894959999999","RepT","Maximum body mass (g)"
"252","Boidae","Eryx jaculus","Clutch_mean","13","RepT","Mean number of offspring per litter or number of eggs per clutch"
"253","Boidae","Eryx jaculus","Diet","Carnivorous","SqB","Diet"
"254","Boidae","Eryx jaculus","First_breeding_m","36","SqB","first_breeding_months"
"255","Boidae","Eryx jaculus","Limbs","limbless","SqB","Limbs"
"256","Boidae","Eryx jaculus","Longevity_y","24.7","RepT","Maximum Longevity (years)"
"257","Boidae","Eryx jaculus","SVL_mm_max","552.5","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"258","Boidae","Eryx jaculus","Substrate","Terrestrial","RepT","Microhabitat"
"259","Scincidae","Eumeces schneiderii","Active_period","Diurnal","RepT","Active time"
"260","Scincidae","Eumeces schneiderii","Activity_season_m","7.5","SqB","Length_Activity_Season"
"261","Scincidae","Eumeces schneiderii","BodyMass_max_g","159.68249027090073","RepT","Maximum body mass (g)"
"262","Scincidae","Eumeces schneiderii","BodyTemp_mean","33.1","RepT","Mean Tb"
"263","Scincidae","Eumeces schneiderii","Brood_per_year","1","SqB","Yearly_broods"
"264","Scincidae","Eumeces schneiderii","Clutch_mean","11","RepT","Mean number of offspring per litter or number of eggs per clutch"
"265","Scincidae","Eumeces schneiderii","Diet","Omnivorous","RepT","Diet"
"266","Scincidae","Eumeces schneiderii","First_breeding_m","33","SqB","first_breeding_months"
"267","Scincidae","Eumeces schneiderii","Limbs","4 well developed limbs","SqB","Limbs"
"268","Scincidae","Eumeces schneiderii","Longevity_y","22","SqB","Maximum Longevity (years)"
"269","Scincidae","Eumeces schneiderii","SVL_mm_max","186","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"270","Scincidae","Eumeces schneiderii","Substrate","Terrestrial","RepT","Microhabitat"
"271","Lacertidae","Hellenolacerta graeca","Active_period","Diurnal","RepT","Active time"
"272","Lacertidae","Hellenolacerta graeca","Activity_season_m","7.5","SqB","Length_Activity_Season"
"273","Lacertidae","Hellenolacerta graeca","BodyMass_max_g","14.12537545","RepT","Maximum body mass (g)"
"274","Lacertidae","Hellenolacerta graeca","BodyTemp_mean","31.35","RepT","Mean Tb"
"275","Lacertidae","Hellenolacerta graeca","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"276","Lacertidae","Hellenolacerta graeca","Clutch_mean","3.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"277","Lacertidae","Hellenolacerta graeca","Diet","Carnivorous","RepT","Diet"
"278","Lacertidae","Hellenolacerta graeca","Limbs","4 well developed limbs","SqB","Limbs"
"279","Lacertidae","Hellenolacerta graeca","SVL_mm_max","85","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"280","Lacertidae","Hellenolacerta graeca","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
"281","Gekkonidae","Hemidactylus turcicus","Active_period","Nocturnal","RepT","Active time"
"282","Gekkonidae","Hemidactylus turcicus","Activity_season_m","9.5","SqB","Length_Activity_Season"
"283","Gekkonidae","Hemidactylus turcicus","BodyMass_max_g","5.754399373","RepT","Maximum body mass (g)"
"284","Gekkonidae","Hemidactylus turcicus","BodyTemp_mean","23.85","RepT","Mean Tb"
"285","Gekkonidae","Hemidactylus turcicus","Brood_per_year","3","RepT","Number of litters or clutches produced per year"
"286","Gekkonidae","Hemidactylus turcicus","Clutch_mean","2","RepT","Mean number of offspring per litter or number of eggs per clutch"
"287","Gekkonidae","Hemidactylus turcicus","Diet","Carnivorous","RepT","Diet"
"288","Gekkonidae","Hemidactylus turcicus","First_breeding_m","22.3","SqB","first_breeding_months"
"289","Gekkonidae","Hemidactylus turcicus","Limbs","4 well developed limbs","SqB","Limbs"
"290","Gekkonidae","Hemidactylus turcicus","Longevity_y","9","RepT","Maximum Longevity (years)"
"291","Gekkonidae","Hemidactylus turcicus","SVL_mm_max","64.7","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"292","Gekkonidae","Hemidactylus turcicus","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
"293","Colubridae","Hemorrhois hippocrepis","Active_period","Diurnal","RepT","Active time"
"294","Colubridae","Hemorrhois hippocrepis","BodyMass_max_g","681.26355899999999","RepT","Maximum body mass (g)"
"295","Colubridae","Hemorrhois hippocrepis","Clutch_mean","8","RepT","Mean number of offspring per litter or number of eggs per clutch"
"296","Colubridae","Hemorrhois hippocrepis","Diet","Carnivorous","SqB","Diet"
"297","Colubridae","Hemorrhois hippocrepis","Limbs","limbless","SqB","Limbs"
"298","Colubridae","Hemorrhois hippocrepis","Longevity_y","6.3","RepT","Maximum Longevity (years)"
"299","Colubridae","Hemorrhois hippocrepis","Substrate","Terrestrial","RepT","Microhabitat"
"300","Colubridae","Hemorrhois nummifer","Active_period","Diurnal","RepT","Active time"
"301","Colubridae","Hemorrhois nummifer","BodyMass_max_g","217.21527330000001","RepT","Maximum body mass (g)"
"302","Colubridae","Hemorrhois nummifer","Clutch_mean","11.5","AMN","litter_or_clutch_size_n"
"303","Colubridae","Hemorrhois nummifer","Diet","Carnivorous","RepT","Diet"
"304","Colubridae","Hemorrhois nummifer","Limbs","limbless","SqB","Limbs"
"305","Colubridae","Hemorrhois nummifer","Longevity_y","13.8","RepT","Maximum Longevity (years)"
"306","Colubridae","Hemorrhois nummifer","SVL_mm_max","854","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"307","Colubridae","Hemorrhois nummifer","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"308","Scincidae","Heremites vittatus","Active_period","Diurnal","RepT","Active time"
"309","Scincidae","Heremites vittatus","Activity_season_m","8.5","SqB","Length_Activity_Season"
"310","Scincidae","Heremites vittatus","BodyMass_max_g","20.892959999999999","RepT","Maximum body mass (g)"
"311","Scincidae","Heremites vittatus","BodyTemp_mean","33.25","RepT","Mean Tb"
"312","Scincidae","Heremites vittatus","Brood_per_year","1.5","SqB","Yearly_broods"
"313","Scincidae","Heremites vittatus","Clutch_mean","4.8499999999999996","RepT","Mean number of offspring per litter or number of eggs per clutch"
"314","Scincidae","Heremites vittatus","Diet","Carnivorous","RepT","Diet"
"315","Scincidae","Heremites vittatus","First_breeding_m","10","SqB","first_breeding_months"
"316","Scincidae","Heremites vittatus","Limbs","4 well developed limbs","SqB","Limbs"
"317","Scincidae","Heremites vittatus","SVL_mm_max","98.8","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"318","Scincidae","Heremites vittatus","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"319","Colubridae","Hierophis cypriensis","Active_period","Diurnal","SqB","Activity time"
"320","Colubridae","Hierophis cypriensis","BodyMass_max_g","4068.2","RepT","Maximum body mass (g)"
"321","Colubridae","Hierophis cypriensis","Diet","Carnivorous","SqB","Diet"
"322","Colubridae","Hierophis cypriensis","Limbs","limbless","SqB","Limbs"
"323","Colubridae","Hierophis cypriensis","SVL_mm_max","820","SqB","maximum SVL (mm)"
"324","Colubridae","Hierophis cypriensis","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"325","Colubridae","Hierophis gemonensis","Active_period","Diurnal","SqB","Activity time"
"326","Colubridae","Hierophis gemonensis","BodyMass_max_g","219.3845872","RepT","Maximum body mass (g)"
"327","Colubridae","Hierophis gemonensis","Clutch_mean","6.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"328","Colubridae","Hierophis gemonensis","Diet","*Carnivorous","SqB","Diet"
"329","Colubridae","Hierophis gemonensis","Limbs","limbless","SqB","Limbs"
"330","Colubridae","Hierophis gemonensis","Longevity_y","33","RepT","Maximum Longevity (years)"
"331","Colubridae","Hierophis gemonensis","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"332","Colubridae","Hierophis viridiflavus","Active_period","Diurnal","RepT","Active time"
"333","Colubridae","Hierophis viridiflavus","BodyMass_max_g","386.59891959999999","RepT","Maximum body mass (g)"
"334","Colubridae","Hierophis viridiflavus","Clutch_mean","20","RepT","Mean number of offspring per litter or number of eggs per clutch"
"335","Colubridae","Hierophis viridiflavus","Diet","*Carnivorous","SqB","Diet"
"336","Colubridae","Hierophis viridiflavus","Limbs","limbless","SqB","Limbs"
"337","Colubridae","Hierophis viridiflavus","Longevity_y","33","RepT","Maximum Longevity (years)"
"338","Colubridae","Hierophis viridiflavus","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"339","Lacertidae","Iberolacerta cyreni","Active_period","Diurnal","RepT","Active time"
"340","Lacertidae","Iberolacerta cyreni","Activity_season_m","5.5","SqB","Length_Activity_Season"
"341","Lacertidae","Iberolacerta cyreni","BodyMass_max_g","17.37800829","RepT","Maximum body mass (g)"
"342","Lacertidae","Iberolacerta cyreni","BodyTemp_mean","28.25","RepT","Mean Tb"
"343","Lacertidae","Iberolacerta cyreni","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"344","Lacertidae","Iberolacerta cyreni","Clutch_mean","6.3000000000000007","RepT","Mean number of offspring per litter or number of eggs per clutch"
"345","Lacertidae","Iberolacerta cyreni","Diet","Carnivorous","RepT","Diet"
"346","Lacertidae","Iberolacerta cyreni","First_breeding_m","10","SqB","first_breeding_months"
"347","Lacertidae","Iberolacerta cyreni","Limbs","4 well developed limbs","SqB","Limbs"
"348","Lacertidae","Iberolacerta cyreni","SVL_mm_max","91","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"349","Lacertidae","Iberolacerta cyreni","Substrate","Terrestrial","RepT","Microhabitat"
"350","Lacertidae","Iberolacerta horvathi","Active_period","Diurnal","RepT","Active time"
"351","Lacertidae","Iberolacerta horvathi","Activity_season_m","7","SqB","Length_Activity_Season"
"352","Lacertidae","Iberolacerta horvathi","BodyMass_max_g","6.4565422899999998","RepT","Maximum body mass (g)"
"353","Lacertidae","Iberolacerta horvathi","BodyTemp_mean","31.6","RepT","Mean Tb"
"354","Lacertidae","Iberolacerta horvathi","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"355","Lacertidae","Iberolacerta horvathi","Clutch_mean","3.5049999999999999","RepT","Mean number of offspring per litter or number of eggs per clutch"
"356","Lacertidae","Iberolacerta horvathi","Diet","Carnivorous","RepT","Diet"
"357","Lacertidae","Iberolacerta horvathi","First_breeding_m","24","SqB","first_breeding_months"
"358","Lacertidae","Iberolacerta horvathi","Limbs","4 well developed limbs","SqB","Limbs"
"359","Lacertidae","Iberolacerta horvathi","SVL_mm_max","65","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"360","Lacertidae","Iberolacerta horvathi","Substrate","Saxicolous","RepT","Microhabitat"
"361","Lacertidae","Iberolacerta martinezricai","Active_period","Diurnal","RepT","Active time"
"362","Lacertidae","Iberolacerta martinezricai","Activity_season_m","5","SqB","Length_Activity_Season"
"363","Lacertidae","Iberolacerta martinezricai","BodyMass_max_g","7.7624711660000001","RepT","Maximum body mass (g)"
"364","Lacertidae","Iberolacerta martinezricai","BodyTemp_mean","33.299999999999997","RepT","Mean Tb"
"365","Lacertidae","Iberolacerta martinezricai","Brood_per_year","1.25","AMN","litters_or_clutches_per_y"
"366","Lacertidae","Iberolacerta martinezricai","Clutch_mean","4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"367","Lacertidae","Iberolacerta martinezricai","Diet","Carnivorous","RepT","Diet"
"368","Lacertidae","Iberolacerta martinezricai","First_breeding_m","42","SqB","first_breeding_months"
"369","Lacertidae","Iberolacerta martinezricai","Limbs","4 well developed limbs","SqB","Limbs"
"370","Lacertidae","Iberolacerta martinezricai","Longevity_y","8","RepT","Maximum Longevity (years)"
"371","Lacertidae","Iberolacerta martinezricai","SVL_mm_max","69.3","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"372","Lacertidae","Iberolacerta martinezricai","Substrate","Saxicolous","RepT","Microhabitat"
"373","Lacertidae","Iberolacerta monticola","Active_period","Diurnal","RepT","Active time"
"374","Lacertidae","Iberolacerta monticola","Activity_season_m","9","SqB","Length_Activity_Season"
"375","Lacertidae","Iberolacerta monticola","BodyMass_max_g","13.80384265","RepT","Maximum body mass (g)"
"376","Lacertidae","Iberolacerta monticola","BodyTemp_mean","31.450000000000003","RepT","Mean Tb"
"377","Lacertidae","Iberolacerta monticola","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"378","Lacertidae","Iberolacerta monticola","Clutch_mean","6.3000000000000007","RepT","Mean number of offspring per litter or number of eggs per clutch"
"379","Lacertidae","Iberolacerta monticola","Diet","Carnivorous","RepT","Diet"
"380","Lacertidae","Iberolacerta monticola","First_breeding_m","23.5","SqB","first_breeding_months"
"381","Lacertidae","Iberolacerta monticola","Limbs","4 well developed limbs","SqB","Limbs"
"382","Lacertidae","Iberolacerta monticola","Longevity_y","15","RepT","Maximum Longevity (years)"
"383","Lacertidae","Iberolacerta monticola","SVL_mm_max","84.6","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"384","Lacertidae","Iberolacerta monticola","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"385","Lacertidae","Lacerta agilis","Active_period","Diurnal","RepT","Active time"
"386","Lacertidae","Lacerta agilis","Activity_season_m","7","SqB","Length_Activity_Season"
"387","Lacertidae","Lacerta agilis","BodyMass_max_g","33.884415609999998","RepT","Maximum body mass (g)"
"388","Lacertidae","Lacerta agilis","BodyTemp_mean","32.200000000000003","RepT","Mean Tb"
"389","Lacertidae","Lacerta agilis","Brood_per_year","1","RepT","Number of litters or clutches produced per year"
"390","Lacertidae","Lacerta agilis","Clutch_mean","8.4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"391","Lacertidae","Lacerta agilis","Diet","Carnivorous","RepT","Diet"
"392","Lacertidae","Lacerta agilis","First_breeding_m","24","SqB","first_breeding_months"
"393","Lacertidae","Lacerta agilis","Limbs","4 well developed limbs","SqB","Limbs"
"394","Lacertidae","Lacerta agilis","Longevity_y","15","RepT","Maximum Longevity (years)"
"395","Lacertidae","Lacerta agilis","SVL_mm_max","114","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"396","Lacertidae","Lacerta agilis","Substrate","Terrestrial","RepT","Microhabitat"
"397","Lacertidae","Lacerta bilineata","Active_period","Diurnal","RepT","Active time"
"398","Lacertidae","Lacerta bilineata","Activity_season_m","9","SqB","Length_Activity_Season"
"399","Lacertidae","Lacerta bilineata","BodyMass_max_g","50.118723359999997","RepT","Maximum body mass (g)"
"400","Lacertidae","Lacerta bilineata","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"401","Lacertidae","Lacerta bilineata","Clutch_mean","11.05","RepT","Mean number of offspring per litter or number of eggs per clutch"
"402","Lacertidae","Lacerta bilineata","Diet","Carnivorous","RepT","Diet"
"403","Lacertidae","Lacerta bilineata","First_breeding_m","18","SqB","first_breeding_months"
"404","Lacertidae","Lacerta bilineata","Limbs","4 well developed limbs","SqB","Limbs"
"405","Lacertidae","Lacerta bilineata","Longevity_y","13","RepT","Maximum Longevity (years)"
"406","Lacertidae","Lacerta bilineata","SVL_mm_max","130","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"407","Lacertidae","Lacerta bilineata","Substrate","Terrestrial","RepT","Microhabitat"
"408","Lacertidae","Lacerta schreiberi","Active_period","Diurnal","RepT","Active time"
"409","Lacertidae","Lacerta schreiberi","BodyMass_max_g","75.857757500000005","RepT","Maximum body mass (g)"
"410","Lacertidae","Lacerta schreiberi","BodyTemp_mean","31.05","RepT","Mean Tb"
"411","Lacertidae","Lacerta schreiberi","Brood_per_year","2","RepT","Number of litters or clutches produced per year"
"412","Lacertidae","Lacerta schreiberi","Clutch_mean","12.35","RepT","Mean number of offspring per litter or number of eggs per clutch"
"413","Lacertidae","Lacerta schreiberi","Diet","Carnivorous","RepT","Diet"
"414","Lacertidae","Lacerta schreiberi","First_breeding_m","16","SqB","first_breeding_months"
"415","Lacertidae","Lacerta schreiberi","Limbs","4 well developed limbs","SqB","Limbs"
"416","Lacertidae","Lacerta schreiberi","Longevity_y","10","RepT","Maximum Longevity (years)"
"417","Lacertidae","Lacerta schreiberi","SVL_mm_max","135","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"418","Lacertidae","Lacerta schreiberi","Substrate","Terrestrial","RepT","Microhabitat"
"419","Lacertidae","Lacerta trilineata","Active_period","Diurnal","RepT","Active time"
"420","Lacertidae","Lacerta trilineata","Activity_season_m","8","SqB","Length_Activity_Season"
"421","Lacertidae","Lacerta trilineata","BodyMass_max_g","117.4897555","RepT","Maximum body mass (g)"
"422","Lacertidae","Lacerta trilineata","BodyTemp_mean","31.799999999999997","RepT","Mean Tb"
"423","Lacertidae","Lacerta trilineata","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"424","Lacertidae","Lacerta trilineata","Clutch_mean","10.385","RepT","Mean number of offspring per litter or number of eggs per clutch"
"425","Lacertidae","Lacerta trilineata","Diet","Omnivorous","RepT","Diet"
"426","Lacertidae","Lacerta trilineata","Limbs","4 well developed limbs","SqB","Limbs"
"427","Lacertidae","Lacerta trilineata","Longevity_y","10","RepT","Maximum Longevity (years)"
"428","Lacertidae","Lacerta trilineata","SVL_mm_max","174","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"429","Lacertidae","Lacerta trilineata","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"430","Lacertidae","Lacerta viridis","Active_period","Diurnal","RepT","Active time"
"431","Lacertidae","Lacerta viridis","Activity_season_m","6","SqB","Length_Activity_Season"
"432","Lacertidae","Lacerta viridis","BodyMass_max_g","91.201083940000004","RepT","Maximum body mass (g)"
"433","Lacertidae","Lacerta viridis","BodyTemp_mean","33.9","RepT","Mean Tb"
"434","Lacertidae","Lacerta viridis","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"435","Lacertidae","Lacerta viridis","Clutch_mean","9.01","RepT","Mean number of offspring per litter or number of eggs per clutch"
"436","Lacertidae","Lacerta viridis","Diet","Omnivorous","RepT","Diet"
"437","Lacertidae","Lacerta viridis","First_breeding_m","24","SqB","first_breeding_months"
"438","Lacertidae","Lacerta viridis","Limbs","4 well developed limbs","SqB","Limbs"
"439","Lacertidae","Lacerta viridis","Longevity_y","10","RepT","Maximum Longevity (years)"
"440","Lacertidae","Lacerta viridis","SVL_mm_max","160","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"441","Lacertidae","Lacerta viridis","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"442","Agamidae","Laudakia stellio","Active_period","Diurnal","RepT","Active time"
"443","Agamidae","Laudakia stellio","BodyMass_max_g","94.2","RepT","Maximum body mass (g)"
"444","Agamidae","Laudakia stellio","BodyTemp_mean","34","RepT","Mean Tb"
"445","Agamidae","Laudakia stellio","Brood_per_year","1.5","SqB","Yearly_broods"
"446","Agamidae","Laudakia stellio","Clutch_mean","11.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"447","Agamidae","Laudakia stellio","Diet","Omnivorous","RepT","Diet"
"448","Agamidae","Laudakia stellio","First_breeding_m","30","SqB","first_breeding_months"
"449","Agamidae","Laudakia stellio","Limbs","4 well developed limbs","SqB","Limbs"
"450","Agamidae","Laudakia stellio","Longevity_y","10","SqB","Maximum Longevity (years)"
"451","Agamidae","Laudakia stellio","SVL_mm_max","210","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"452","Agamidae","Laudakia stellio","Substrate","Arboreal/Saxicolous","RepT","Microhabitat"
"453","Colubridae","Macroprotodon brevis","Active_period","Nocturnal","SqB","Activity time"
"454","Colubridae","Macroprotodon brevis","BodyMass_max_g","20.16902206","RepT","Maximum body mass (g)"
"455","Colubridae","Macroprotodon brevis","Brood_per_year","0.5","RepT","Number of litters or clutches produced per year"
"456","Colubridae","Macroprotodon brevis","Clutch_mean","4","RepT","Mean number of offspring per litter or number of eggs per clutch"
"457","Colubridae","Macroprotodon brevis","Diet","*Carnivorous","SqB","Diet"
"458","Colubridae","Macroprotodon brevis","Limbs","limbless","SqB","Limbs"
"459","Colubridae","Macroprotodon brevis","Longevity_y","5.9","RepT","Maximum Longevity (years)"
"460","Colubridae","Macroprotodon brevis","Substrate","Terrestrial","RepT","Microhabitat"
"461","Colubridae","Macroprotodon cucullatus","Active_period","Nocturnal","RepT","Active time"
"462","Colubridae","Macroprotodon cucullatus","BodyMass_max_g","25.690991709999999","RepT","Maximum body mass (g)"
"463","Colubridae","Macroprotodon cucullatus","Brood_per_year","0.75","RepT","Number of litters or clutches produced per year"
"464","Colubridae","Macroprotodon cucullatus","Clutch_mean","6","RepT","Mean number of offspring per litter or number of eggs per clutch"
"465","Colubridae","Macroprotodon cucullatus","Diet","Carnivorous","SqB","Diet"
"466","Colubridae","Macroprotodon cucullatus","Limbs","limbless","SqB","Limbs"
"467","Colubridae","Macroprotodon cucullatus","Longevity_y","16","RepT","Maximum Longevity (years)"
"468","Colubridae","Macroprotodon cucullatus","SVL_mm_max","363.3","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"469","Colubridae","Macroprotodon cucullatus","Substrate","Terrestrial","RepT","Microhabitat"
"470","Viperidae","Macrovipera lebetinus","Active_period","Cathemeral","RepT","Active time"
"471","Viperidae","Macrovipera lebetinus","BodyMass_max_g","4769.8429509999996","RepT","Maximum body mass (g)"
"472","Viperidae","Macrovipera lebetinus","Clutch_mean","9","RepT","Mean number of offspring per litter or number of eggs per clutch"
"473","Viperidae","Macrovipera lebetinus","Diet","Carnivorous","SqB","Diet"
"474","Viperidae","Macrovipera lebetinus","First_breeding_m","48","SqB","first_breeding_months"
"475","Viperidae","Macrovipera lebetinus","Limbs","limbless","SqB","Limbs"
"476","Viperidae","Macrovipera lebetinus","Longevity_y","11.3","RepT","Maximum Longevity (years)"
"477","Viperidae","Macrovipera lebetinus","Substrate","Arboreal/Terrestrial","RepT","Microhabitat"
"478","Viperidae","Macrovipera schweizeri","BodyMass_max_g","1306","AMN","adult_body_mass_g"
"479","Viperidae","Macrovipera schweizeri","Clutch_mean","7.5","AMN","litter_or_clutch_size_n"
"480","Viperidae","Macrovipera schweizeri","Longevity_y","11.3","AMN","maximum_longevity_y"
"481","Psammophiidae","Malpolon insignitus","Active_period","Diurnal","RepT","Active time"
"482","Psammophiidae","Malpolon insignitus","BodyMass_max_g","1186.4697450000001","RepT","Maximum body mass (g)"
